Country,Confirmed,Deaths,Recovered,Active,Cases per 100 000,Inhabitants,Urban population (%)
Sierra Leone,4016,79,2833,1104,49,8084541,41.636
Singapore,60735,30,60417,288,1029,5899412,100.0
Slovakia,373950,10877,255300,107773,6835,5470385,53.751
Slovenia,229967,4142,212815,13010,11056,2079841,54.273
Solomon Islands,19,0,18,1,2,698141,23.286
Somalia,12837,656,5346,6835,79,16138856,44.391
South Africa,1562931,53571,1488060,21300,2609,59895107,65.85
South Sudan,10416,114,10148,154,92,11289106,19.346
Spain,3396685,76882,150376,3169427,7253,46827790,80.08
Sri Lanka,95949,608,92308,3033,445,21546867,18.384
Sudan,32932,2208,25539,5185,74,44501546,34.37
Suriname,9458,185,8751,522,1598,591816,66.041
Sweden,892480,13761,,878719,8796,10146031,87.146
Switzerland,630194,10498,317600,302096,7239,8704828,73.761
Syria,20713,1414,14469,4830,117,17637072,53.5
Taiwan*,1068,11,1031,26,4,23925362,
Tajikistan,13308,90,13218,0,137,9696049,26.982
Tanzania,509,21,183,305,<1,60774747,33.053
Thailand,37453,97,26873,10483,53,70107582,49.2
Timor-Leste,1138,2,564,572,85,1337116,30.212
Togo,12214,117,9543,2554,145,8403339,41.162
Trinidad and Tobago,8678,150,7843,685,617,1406426,53.205
Tunisia,279376,9553,231285,38538,2340,11934653,68.642
Turkey,4086957,35031,3535040,516886,4791,85289503,74.644
US,31495649,565289,,,9370,336130735,82.058
Uganda,41263,338,40898,27,88,46654727,23.196
Ukraine,1956454,40389,1502688,413377,4490,43564349,69.246
United Arab Emirates,491423,1545,475012,14866,4905,10017751,86.248
United Kingdom,4396096,127438,13854,4254804,6396,68729427,83.143
Uruguay,156499,1726,122637,32136,4485,3488706,95.24
Uzbekistan,85730,634,83462,1634,252,33903849,50.55
Vanuatu,3,0,1,2,<1,312032,25.163
Venezuela,179365,1853,161820,15692,630,28448153,88.183
Vietnam,2758,35,2445,278,2,98293002,35.213
West Bank and Gaza,276407,2937,241343,32127,8275,3340143,75.894
Yemen,5657,1097,2178,2382,18,30311376,36.016
Zambia,90532,1230,88283,1019,483,18710377,42.976
Zimbabwe,37422,1550,34961,911,248,15044804,32.237
